,pickup_gov,driver_name,all_trips
0,Ad Daqahliyah,158,1372.0
1,Al Bahr al Ahmar,1,2.0
2,Al Buhayrah,202,1722.0
3,Al Fayyum,28,227.0
4,Al Gharbiyah,80,977.0
5,Al Iskandariyah,272,2615.0
6,Al Isma`iliyah,50,208.0
7,Al Jizah,1424,25233.0
8,Al Minufiyah,133,1016.0
9,Al Minya,162,2706.0
10,Al Qalyubiyah,843,19984.0
11,Al Uqsur,16,163.0
12,Al Wadi al Jadid,2,4.0
13,As Suways,107,1281.0
14,Ash Sharqiyah,397,5207.0
15,Aswan,29,758.0
16,Asyut,85,2095.0
17,Bani Suwayf,99,1559.0
18,Bur Sa`id,6,12.0
19,Dumyat,30,223.0
20,Janub Sina`,5,132.0
21,Jeddah,1,2.0
22,Kafr ash Shaykh,13,27.0
23,Matrouh,49,137.0
24,Shamal Sinai,0,0.0
25,Qina,27,738.0
26,Suhaj,52,1431.0
27,Al Qahirah,875,23329.0
